name,commits,files
do-tf-vpn-rapipago,40,15
pix-chave-dict-worker,1,1
bcc-utils-dotnet-logger,2,4
topaz-db-amlsupla_int,11,5
bcc-qa-integration-transport,5,3
api-pa-transaction,1,1
ob-lib-kafka-connectors,56,32
pix-spi-recebedor-response-worker,1,1
pix-gestao-participantes-api,3,12
cd-ms-jpos-tecban,54,37
cc-ob-api-definitions,74,18
qa-automation-pampas-pa-ms-operation,1,1
design-system-component-android,127,146
ssd.puppet.proxy,19,10
bcc-events-ms-legalperson,10,12
bcc-ms-security,81,133
do-k8s-agent-vsts,4,20
cad-ms-personal-data,44,156
arq-event-store,10,25
ob-ms-emailage-integration-collector,34,62
cd-ms-courier-gateway,441,282
bcc-qa-integration-payments,23,4
cd-ms-conciliation-mastercard,1,2
trn-svc-config-pts-ar,237,164
arq-internet-gateway,53,29
arq-oauth-server,61,1669
ob-events-FavoriteOtherBanks-integration,5,14
ob-events-account-integration,19,22
bcc-gp-ms-payroll-bff,310,407
alpha1-datalake,78,53
pix-spi-api,1,1
ob-ms-cards-integration-collector,1,1
trn-ms-operation,289,258
trn-svc-cash,137,69
api-pa-charge-and-benefit,1,1
bcc-gp-web-legalperson-main,73,2325
ob-ms-balance-integration-collector,7,59
do-tech-onboarding,12,2
ob-ms-terms,166,76
api-NOUSAR-sysapi-communicationProvider-v1,7,7
ob-ms-prometeo,46,69
cd-db-authorizer,138,47
pix-spi-recebedor-sgct-worker,1,1
cd-jobs,86,59
pix-spi-pagador-receive-worker,1,1
pa-qa-integration-person,53,6
api-cd-embossment,1,1
cd-client-transactionbroker,164,38
pa-ms-person,1425,801
cc-web-core,65,222
service-catalogue,1,1
cd-ms-jpos-mastercard,222,93
pa-flows,10,6
pocs-serilog,1,46
trn-svc-cross,64,50
ssd.puppet.sftp,28,2
sd-flutter-cards,11,99
bcc-gp-web-main,463,421
pix-bacen-roteador-worker,1,1
cd-events-authorizer,128,20
ob-ms-lp-prospect,72,130
interop-ios,1,1
pa-ms-garnishment,233,311
cad-ms-email-notification,173,79
api-NOUSAR-openapi-config-v1,8,8
pa-api-definitions,192,28
pix-chave-gestao-worker,1,1
qa-test-mobile-android,4,43
cd-ms-posting-conciliation-mastercard,290,248
bcc-gp-events-ms-payslips,9,25
ob-web-mock,110,142
qa-automation-rest-api-REFACTOR,1,1
api-NOUSAR-openapi-product,7,7
SDI.Apigee.Installation.Templates,4,107
pa-event-definitions,30,4
qa_automation_rest_api_transaction_broker,1,1
cad-ms-voice-notification,96,79
pix-chave-reivindicacao-pendentes-worker,1,1
do-poc-sonarqube2,10,10
devops.wiki,322,134
pa-events-lock-documents,16,22
api-cd-card-managment,1,1
san-idv-sample,18,1327
do-ansible-mongodb,53,9
sdbrasil-ms-modelo,9,53
santander-vpn-clients,3,3
pix-spi-pagador-send-worker,1,1
saas-ms-payment,1,2
api-pa-person,7,7
cad-ms-push-notification,117,80
do-py-scripts,4,3
transmit-security,107,193
superdigital-android-app,364,55
cd-ms-posting-integration-mastercard,231,185
ob-ms-digital-signature,279,184
trn-svc-config-pts-pe,48,36
ob-ms-dnic,53,73
pa-events-charges-and-benefits,110,63
cd-lib-cards-core,147,54
cd-ms-embossing,1381,524
do-ansible-redis,10,52
api-NOUSAR-sysapi-usersAccountProvider-v1,7,7
ob-ms-ob-bff,1003,434
bcc-gp-ms-payments,503,351
pa-ms-operations-history,103,128
do-poc-nosources,14,15
api-ob-user,10,8
bcc-grpc-clients-template,1,2
do-tf-azure-cache,10,14
do-poc-dev2,1,1
arq-lib-common-remoteconfig,25,67
pocs,204,741
trn-ios-pix,55,214
do-tf-databricks,23,10
pix-spi-pagador-sgct-worker,1,1
microfrontend-minimal-setup,7,44
services-ios,1,2
devops-cd,1,1
ssd.puppet.powershell_installer,10,3
arq-partners-gateway,16,29
arq-sonarqube,7,8
do-helm-ovpn,2,12
qa-automation-rest-api-cards-authorizer,177,5
sdd.az.modules.azure-sql-databases-non-pool,1,1
arq-docker-mssql-tools,8,2
do-kafka-deploy,1,19
